feature_column,Element symbol,Element name,Type,Subtype,Class,Subclass,Scope
feat_acrR_V29YfsTer44,acrR_V29YfsTer44,Escherichia ampicillin/chloramphenicol/fluoroquinolone/rifampin/tetracycline resistant AcrR,AMR,POINT_DISRUPT,MULTIDRUG,AMPICILLIN/CHLORAMPHENICOL/FLUOROQUINOLONE/RIFAMPIN/TETRACYCLINE,core
feat_nfsA_G126R,nfsA_G126R,Escherichia nitrofurantoin resistant NfsA,AMR,POINT,NITROFURAN,NITROFURANTOIN,core
feat_nfsA_Q195Ter,nfsA_Q195Ter,Escherichia nitrofurantoin resistant NfsA,AMR,POINT_DISRUPT,NITROFURAN,NITROFURANTOIN,core
feat_nfsA_R203C,nfsA_R203C,Escherichia nitrofurantoin resistant NfsA,AMR,POINT,NITROFURAN,NITROFURANTOIN,core
feat_nfsB_F167LfsTer11,nfsB_F167LfsTer11,Escherichia nitrofurantoin resistant NfsB,AMR,POINT_DISRUPT,NITROFURAN,NITROFURANTOIN,core
feat_catA1,catA1,type A-1 chloramphenicol O-acetyltransferase,AMR,AMR,PHENICOL,CHLORAMPHENICOL,core
feat_catA3,catA3,type A-3 chloramphenicol O-acetyltransferase CatIII,AMR,AMR,PHENICOL,CHLORAMPHENICOL,core
feat_catB3,catB3,type B-3 chloramphenicol O-acetyltransferase CatB3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,core
feat_cmlA1,cmlA1,chloramphenicol efflux MFS transporter CmlA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,core
feat_floR,floR,chloramphenicol/florfenicol efflux MFS transporter FloR,AMR,AMR,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,core
feat_gyrA_D87N,gyrA_D87N,Escherichia quinolone resistant GyrA,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_gyrA_S83L,gyrA_S83L,Escherichia quinolone resistant GyrA,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_parC_E84V,parC_E84V,Escherichia quinolone resistant ParC,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_parC_S80I,parC_S80I,Escherichia quinolone resistant ParC,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_parE_E460D,parE_E460D,Escherichia quinolone resistant ParE,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_parE_I529L,parE_I529L,Escherichia quinolone resistant ParE,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_parE_S458A,parE_S458A,Escherichia quinolone resistant ParE,AMR,POINT,QUINOLONE,QUINOLONE,core
feat_qnrA1,qnrA1,quinolone resistance pentapeptide repeat protein QnrA1,AMR,AMR,QUINOLONE,QUINOLONE,core
feat_qnrS1,qnrS1,quinolone resistance pentapeptide repeat protein QnrS1,AMR,AMR,QUINOLONE,QUINOLONE,core
feat_arr,arr,NAD(+)--rifampin ADP-ribosyltransferase,AMR,AMR,RIFAMYCIN,RIFAMYCIN,core
feat_sul1,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,core
feat_sul2,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,AMR,AMR,SULFONAMIDE,SULFONAMIDE,core
feat_sul3,sul3,sulfonamide-resistant dihydropteroate synthase Sul3,AMR,AMR,SULFONAMIDE,SULFONAMIDE,core
feat_tet_A,tet(A),tetracycline efflux MFS transporter Tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,core
feat_tet_B,tet(B),tetracycline efflux MFS transporter Tet(B),AMR,AMR,TETRACYCLINE,TETRACYCLINE,core
feat_tet_M,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,core
feat_dfrA12,dfrA12,trimethoprim-resistant dihydrofolate reductase DfrA12,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,core
feat_dfrA14,dfrA14,trimethoprim-resistant dihydrofolate reductase DfrA14,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,core
feat_dfrA17,dfrA17,trimethoprim-resistant dihydrofolate reductase DfrA17,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,core
feat_dfrA29,dfrA29,trimethoprim-resistant dihydrofolate reductase DfrA29,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,core
feat_dfrA8,dfrA8,trimethoprim-resistant dihydrofolate reductase DfrA8,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,core
